Highest,Lowest,Mean,Stdev
0.0,0.0,0.0,0.0
20.0,0.0,1.6,5.537749241945383
20.0,-10.0,5.2,11.944315244779279
30.0,-10.0,20.0,7.0710678118654755
30.0,-10.0,17.6,11.284207253207171
30.0,-10.0,23.6,10.36018017861337
30.0,-10.0,20.0,13.228756555322953
30.0,-10.0,23.6,10.754843869934453
80.0,0.0,24.0,15.545631755148024
80.0,-10.0,12.4,20.058248511107177
80.0,-10.0,10.8,19.131126469708992
100.0,-10.0,18.0,29.58039891549808
140.0,-10.0,26.4,39.145029484384516
140.0,0.0,28.8,38.764244693617684
140.0,-10.0,21.2,37.89459064299283
140.0,-10.0,27.2,44.76978147515725
140.0,-10.0,24.4,40.31955687587187
140.0,-10.0,36.8,46.07240678178932
180.0,-10.0,41.6,54.289348249295955
180.0,-10.0,55.2,53.62835071116769
180.0,-10.0,46.8,61.55756113860696
210.0,-10.0,44.4,65.95958358469727
260.0,-10.0,72.0,87.84455968736292
