Highest,Lowest,Mean,Stdev
20.0,-10.0,-5.2,7.702813338860895
30.0,-10.0,1.2,12.355835328567093
30.0,-10.0,14.0,14.142135623730951
60.0,-10.0,16.4,15.513435037626794
70.0,-10.0,18.0,17.320508075688775
70.0,-10.0,10.8,21.77919496522618
120.0,0.0,25.6,30.832882879592475
120.0,-10.0,25.6,31.235663378047004
120.0,-10.0,33.2,39.86644370060281
120.0,-10.0,49.6,42.276865225952285
140.0,-10.0,36.8,48.194052191807515
140.0,0.0,45.6,44.82186966202995
140.0,-10.0,43.2,46.3429246667349
140.0,0.0,59.6,47.21228653645151
160.0,-10.0,55.2,54.55272678794342
190.0,-10.0,55.6,56.7215420570821
210.0,-10.0,62.8,71.96758529597427
210.0,-10.0,66.0,80.4155872120988
210.0,0.0,86.8,81.73738434767778
210.0,-10.0,70.4,77.91448303535529
210.0,0.0,108.4,91.18113840043894
250.0,0.0,112.0,91.56054463213582
250.0,-10.0,91.2,90.4304520980995
250.0,-10.0,89.6,95.3712045990123
250.0,-10.0,96.8,95.29428104561154
260.0,0.0,139.2,96.82114094211725
260.0,0.0,87.6,100.05331911869123
260.0,0.0,100.4,93.29523031752481
260.0,-10.0,68.4,87.9715863219483
260.0,-10.0,65.6,78.2133833389998
260.0,-10.0,70.0,88.31760866327846
270.0,0.0,92.8,99.64604022906947
