Highest,Lowest,Mean,Stdev
10.0,-10.0,-3.2,8.524474568362947
70.0,-10.0,4.4,17.09775813764288
80.0,-10.0,12.4,22.412793965352318
80.0,0.0,20.4,22.075627586397932
140.0,-10.0,27.6,35.152050675126574
140.0,-10.0,34.4,39.16631205513228
140.0,-10.0,36.4,43.385865593915874
190.0,-10.0,29.6,49.11551010967242
190.0,0.0,47.6,49.4368283772331
190.0,-10.0,50.4,58.057442818872644
190.0,-10.0,65.6,58.52919499417933
220.0,-10.0,56.4,66.82564378041312
220.0,-10.0,44.0,61.032778078668514
220.0,-10.0,61.2,68.14934580268056
220.0,-10.0,61.6,64.72248450113763
220.0,-10.0,48.4,62.960304954788775
220.0,-10.0,54.0,62.24949798994366
220.0,-10.0,32.8,59.897134043847764
220.0,-10.0,43.2,59.56229232212833
220.0,0.0,61.6,56.39739946723312
270.0,-10.0,64.4,73.8850458482635
