Highest,Lowest,Mean,Stdev
70.0,-10.0,2.0,16.832508230603462
80.0,-10.0,4.0,23.979157616563597
80.0,-10.0,14.4,24.677925358506133
80.0,-10.0,14.4,23.288051299611425
100.0,-10.0,20.8,32.903900478008175
190.0,-10.0,23.6,47.59901959774662
190.0,-10.0,43.6,51.30626992223595
190.0,-10.0,43.2,54.06169315390212
190.0,-10.0,56.0,62.782694006124544
190.0,-10.0,56.8,64.2079953484507
200.0,-10.0,49.2,68.00245093622239
200.0,-10.0,54.8,64.42825467137845
200.0,-10.0,37.6,64.76109943476871
200.0,-10.0,54.8,72.52126125029358
200.0,-10.0,38.8,61.19095793769969
270.0,-10.0,52.4,91.29987221604785
