Highest,Lowest,Mean,Stdev
30.0,-10.0,-3.2,10.295630140987
30.0,-10.0,6.4,13.808210118138652
70.0,-10.0,10.0,22.54624876411447
90.0,-10.0,22.4,32.31098884280702
100.0,-10.0,33.2,39.86644370060281
110.0,-10.0,27.2,39.42503434790302
110.0,-10.0,33.6,40.812579760003736
110.0,-10.0,42.0,41.93248541803041
110.0,-10.0,25.2,41.444742328390305
110.0,-10.0,38.8,40.240941009540684
110.0,-10.0,40.4,36.34097778908359
160.0,-10.0,44.0,51.96152422706632
170.0,-10.0,45.6,53.0
170.0,-10.0,48.0,55.67764362830022
170.0,-10.0,46.8,56.32642955723953
170.0,-10.0,47.2,52.640288753007425
170.0,-10.0,42.8,55.039379841467444
200.0,-10.0,90.0,64.1612551830672
250.0,-10.0,90.4,82.63776376451628
270.0,0.0,89.6,83.49051842375077
