Highest,Lowest,Mean,Stdev
120.49038172150824,-9.049866823868342,4.275543593277346,27.77106941467134
136.37176503641754,-9.027608440254527,27.24894639942587,36.9019493271901
136.37176503641754,-9.025666045602783,42.11853172283422,44.01109039025223
136.37176503641754,-9.035034893149104,36.15947458831766,51.189401146215225
193.6656761964523,-8.998014417074067,55.04634217752387,62.2623378811462
193.6656761964523,-8.976813363887263,41.22409231110819,56.59933739953561
195.40129516440845,-9.010197642725545,50.39262683462892,63.06316712352525
195.97931668045442,-6.497654068404911,58.69642040409039,66.81511982709394
354.0117956642564,-7.644184879679354,96.23428817305515,91.45825823490648
354.0117956642564,-7.866168349977968,97.09557402330253,93.69787032723104
354.0117956642564,-6.366160497271148,119.9484754200787,109.80681089738266
354.0117956642564,-6.911770538991918,100.56527799195138,105.42796967413118
354.0117956642564,3.249186688992957,87.16724336450876,109.77666794428782
510.54336062288456,-9.051569364078576,130.2086739006758,136.3671165859304
