Highest,Lowest,Mean,Stdev
80.0,-10.0,2.4,19.849433241279208
80.0,-10.0,9.6,21.88606862823929
80.0,-10.0,12.4,24.711670657134185
90.0,-10.0,14.4,32.28518752204071
90.0,-10.0,31.2,31.267661675710045
90.0,-10.0,17.2,34.46254004954751
100.0,-10.0,19.2,35.22782990761707
100.0,0.0,40.4,34.336569426778794
100.0,-10.0,34.4,40.21608301828179
100.0,-10.0,20.0,34.88074922742725
100.0,-10.0,30.4,38.781438859330635
100.0,0.0,38.8,37.5632799419859
100.0,-10.0,40.0,41.331989225457484
100.0,-10.0,43.2,40.38564101261734
100.0,0.0,44.8,37.5410886008029
100.0,-10.0,44.4,34.044089061098404
100.0,-10.0,31.6,41.09744517606904
100.0,-10.0,30.0,35.823642100341125
100.0,-10.0,40.4,45.96012764705222
100.0,-10.0,33.6,37.29164338919199
110.0,-10.0,38.8,38.97862662194928
110.0,-10.0,42.8,39.845535090730884
110.0,-10.0,32.4,36.08785575970583
110.0,-10.0,44.8,38.31013790978397
110.0,-10.0,23.2,37.938546800494784
110.0,-10.0,40.8,35.93048844644336
110.0,0.0,38.8,37.78447653027188
110.0,-10.0,41.2,40.44749683231337
110.0,-10.0,40.4,41.27953488110058
120.0,-10.0,53.2,39.44616584663204
180.0,-10.0,44.8,46.9148164229596
180.0,-10.0,43.2,45.43493516374084
200.0,-10.0,37.6,54.0277706369604
200.0,-10.0,35.2,62.25752966509353
200.0,-10.0,50.0,62.1825270205921
200.0,-10.0,30.8,53.22280213091628
200.0,-10.0,38.4,60.185823358439926
200.0,-10.0,28.4,56.39739946723312
200.0,-10.0,32.0,61.98117993929017
200.0,-10.0,30.4,54.197170897873754
200.0,-10.0,32.8,59.26775402077141
260.0,-10.0,58.0,82.25975119502044
260.0,-10.0,36.0,71.18052168020874
260.0,-10.0,39.2,64.22097269065094
260.0,-10.0,51.6,80.60603782182407
260.0,-10.0,36.4,68.791956894199
260.0,-10.0,53.2,76.74199198179139
260.0,-10.0,52.0,70.53367989832942
260.0,-10.0,50.4,69.73043333676719
260.0,-10.0,46.8,79.51519770878186
260.0,-10.0,40.0,64.42049363362563
260.0,-10.0,60.0,79.32002689527197
260.0,-10.0,41.6,81.17265549432273
260.0,0.0,38.0,73.88053419767166
260.0,0.0,67.6,87.33460558869739
260.0,-10.0,61.6,88.63219881435114
260.0,-10.0,43.6,80.66804406537531
260.0,-10.0,68.4,86.97125962063559
260.0,-10.0,69.6,93.78521560814725
260.0,-10.0,51.6,79.56548665512369
260.0,0.0,76.8,94.06203626685246
260.0,0.0,39.6,72.3118247591637
260.0,-10.0,34.4,71.65193647069142
260.0,-10.0,57.2,77.00216447174283
260.0,-10.0,53.2,81.37976816547628
260.0,-10.0,64.4,86.65448632355972
260.0,-10.0,47.6,76.28237017817419
260.0,-10.0,54.0,84.01388774085706
260.0,-10.0,74.0,89.76822006330154
260.0,-10.0,72.0,88.175960442742
260.0,-10.0,53.2,82.95179322956196
260.0,-10.0,96.4,91.41845182091706
260.0,-10.0,70.0,88.03408430829505
260.0,-10.0,83.2,98.68806074360431
260.0,-10.0,81.6,92.18098140795277
260.0,-10.0,63.6,93.98049443013872
260.0,-10.0,64.4,89.72550733579982
260.0,-10.0,61.6,89.0542905573149
260.0,-10.0,66.0,87.65462528203138
260.0,-10.0,56.8,80.50465825031493
260.0,-10.0,67.6,89.36255740894319
260.0,-10.0,41.6,83.65006475390999
260.0,-10.0,62.8,86.09684469634567
260.0,-10.0,102.4,93.55390602926921
260.0,-10.0,55.6,87.37276463521113
260.0,0.0,73.2,81.78834472792155
260.0,-10.0,46.0,84.45906306213284
260.0,0.0,65.2,85.44588931013593
260.0,-10.0,76.0,96.95359714832658
260.0,-10.0,36.4,70.64465065853653
260.0,-10.0,60.0,83.2666399786453
260.0,0.0,64.4,81.70475302371746
260.0,-10.0,73.6,92.59589623736032
260.0,-10.0,71.6,103.22628864134691
270.0,-10.0,74.0,99.87492177719089
