Highest,Lowest,Mean,Stdev
59.486044670827226,-9.048985347607715,3.758587392615694,19.16111585643827
130.69868554361713,-9.02635607449374,23.7369859634558,38.806438522190604
133.4159121088341,-8.992891563643616,52.44537756663989,46.444953707581
201.62884491274733,-9.061405689549026,55.58715948449744,58.710761827320376
201.62884491274733,-7.579543206030374,42.04553914375655,64.33873148651416
201.62884491274733,-9.030129123588662,59.897496459606984,63.8223561013194
245.47878931969186,-8.976129817761905,108.45469359354128,79.04786843142769
398.9267975129741,-8.9840858427207,121.31671098534984,110.65918994225926
398.9267975129741,-9.001879888866226,93.7089880485866,102.95090935659519
549.6608255426665,-8.997629608628666,108.82398929512256,167.6248913091335
