Highest,Lowest,Mean,Stdev
60.0,-10.0,0.0,14.719601443879744
70.0,-10.0,4.4,20.016659728003237
70.0,-10.0,12.0,23.27373340628157
130.0,-10.0,24.0,35.23729085310996
130.0,-10.0,19.6,38.88873015840622
130.0,-10.0,29.2,47.07440918375928
130.0,-10.0,26.4,40.402145157569706
170.0,0.0,49.6,47.82607378128936
170.0,-10.0,36.4,49.318691520896344
170.0,-10.0,30.8,46.71901825452528
170.0,-10.0,32.4,48.24244327698726
170.0,-10.0,22.4,46.57252408878007
200.0,-10.0,50.4,63.99739578034927
200.0,-10.0,40.0,52.04164998665332
200.0,-10.0,50.4,72.19649114280647
270.0,-10.0,73.2,81.94103571064582
