Highest,Lowest,Mean,Stdev
70.0,-10.0,1.6,18.859126879754182
70.0,-10.0,8.4,18.184242262647807
70.0,-10.0,12.4,20.264912204760886
70.0,-10.0,16.0,28.577380332470412
70.0,-10.0,17.2,26.695817400234567
80.0,-10.0,25.2,28.448784391135824
80.0,-10.0,18.4,24.269322199023193
100.0,-10.0,18.8,32.82783371876169
100.0,-10.0,16.4,30.805843601498726
100.0,-10.0,24.0,32.53203549323856
100.0,-10.0,23.6,32.0
100.0,-10.0,27.6,36.43258614665357
100.0,-10.0,24.0,33.04037933599835
100.0,-10.0,32.8,37.80652501002086
100.0,-10.0,24.4,36.75141720623392
100.0,-10.0,34.0,35.35533905932738
100.0,-10.0,27.2,38.24482535803591
110.0,-10.0,35.6,45.74203027122138
110.0,-10.0,29.2,41.02032016777376
110.0,-10.0,31.2,44.93699292713447
110.0,-10.0,37.6,48.50085909892044
110.0,-10.0,31.6,45.70557952810576
130.0,-10.0,41.6,50.553601915854294
130.0,-10.0,35.2,49.25444142409901
130.0,-10.0,28.8,47.98610910114162
130.0,-10.0,46.0,46.188021535170066
130.0,-10.0,30.0,47.521924764610844
130.0,-10.0,33.2,42.88744960164143
160.0,-10.0,33.6,52.351376931907595
180.0,-10.0,57.2,55.94044452212847
180.0,-10.0,50.4,54.656503120244835
180.0,-10.0,57.6,50.849450996708576
180.0,-10.0,63.2,56.915141512020625
180.0,-10.0,52.0,53.07227776030219
180.0,-10.0,45.2,55.23585791856591
180.0,-10.0,41.2,56.00000000000001
180.0,0.0,57.6,54.0277706369604
180.0,-10.0,45.2,58.31809324729333
180.0,-10.0,48.8,54.644304369257
180.0,-10.0,47.6,58.25804665451804
180.0,-10.0,44.4,58.95478493444502
180.0,-10.0,62.0,51.96152422706632
180.0,-10.0,54.0,49.581582602145055
180.0,-10.0,44.8,56.13376880274475
180.0,-10.0,50.0,48.04511768466525
180.0,-10.0,40.4,51.43604443060009
180.0,-10.0,40.8,56.4889369699944
180.0,-10.0,49.2,54.230987451825
180.0,-10.0,34.0,57.08181263181236
180.0,-10.0,40.8,54.23098745182499
180.0,-10.0,54.4,52.367292591209385
180.0,-10.0,59.6,54.58021619598075
180.0,-10.0,55.6,51.48462553682086
180.0,-10.0,38.8,57.902216422747294
180.0,-10.0,49.2,58.1606969238391
180.0,-10.0,40.4,52.319531088622476
180.0,-10.0,42.4,52.14403129793476
180.0,-10.0,43.6,53.84236250388722
180.0,-10.0,55.2,53.705989734231075
180.0,-10.0,58.0,50.99019513592785
180.0,-10.0,59.2,54.07710544521899
270.0,-10.0,47.6,69.17851304174344
