Highest,Lowest,Mean,Stdev
20.0,-10.0,-3.6,8.103497187428813
70.0,-10.0,0.0,16.583123951777
70.0,-10.0,7.2,17.4451521441727
70.0,-10.0,7.6,17.62573875520305
70.0,-10.0,10.8,21.587033144922906
70.0,-10.0,13.2,22.120880030716076
70.0,-10.0,22.0,18.708286933869708
70.0,-10.0,18.0,23.094010767585033
70.0,-10.0,10.4,20.71231517720798
70.0,-10.0,8.4,21.540659228538015
70.0,-10.0,14.4,24.677925358506133
240.0,-10.0,16.8,51.45548237716431
240.0,-10.0,22.0,51.63977794943222
240.0,-10.0,23.6,51.14358871517198
240.0,-10.0,26.4,51.63009458316599
240.0,-10.0,30.8,50.819943591730464
240.0,-10.0,28.4,52.494444150468595
240.0,-10.0,37.6,55.32329226163847
240.0,-10.0,32.4,59.250879037079834
240.0,0.0,60.8,61.02731628814537
240.0,-10.0,48.8,60.986337267730164
240.0,-10.0,57.2,61.068267810159256
270.0,-10.0,56.4,78.149429513806
