Highest,Lowest,Mean,Stdev
0.0,0.0,0.0,0.0
30.0,0.0,1.2,6.0
30.0,0.0,2.8,7.916228058025277
30.0,-10.0,8.8,14.236104336041748
30.0,-10.0,18.0,14.433756729740644
30.0,-10.0,22.0,13.844373104863458
30.0,-10.0,18.0,14.142135623730951
30.0,-10.0,18.4,13.4412301024373
30.0,-10.0,17.2,16.206994374857626
30.0,-10.0,22.0,11.902380714238083
30.0,-10.0,12.8,16.713268182295565
30.0,-10.0,10.0,17.07825127659933
30.0,-10.0,14.0,17.320508075688775
30.0,-10.0,15.2,17.349351572897472
30.0,-10.0,20.4,15.132745950421556
30.0,-10.0,17.6,16.401219466856727
30.0,-10.0,9.6,18.81488772222678
30.0,-10.0,18.0,17.320508075688775
30.0,-10.0,16.4,18.681541692269406
30.0,-10.0,18.4,15.989579940281942
30.0,-10.0,12.0,18.708286933869708
30.0,-10.0,17.2,14.294521094927712
30.0,-10.0,17.2,15.684387141358123
30.0,-10.0,14.8,18.51125783588643
30.0,-10.0,15.6,18.275666882497067
30.0,-10.0,21.6,12.476644848141934
30.0,-10.0,17.6,16.401219466856727
30.0,-10.0,24.8,10.04987562112089
30.0,-10.0,16.4,18.681541692269406
30.0,-10.0,14.8,17.107503227141788
30.0,-10.0,16.0,17.55942292142123
30.0,-10.0,18.4,16.24807680927192
30.0,-10.0,16.4,16.55294535724685
30.0,-10.0,15.2,18.05547008526779
30.0,-10.0,18.0,17.320508075688775
30.0,-10.0,21.6,14.910846164230026
30.0,-10.0,24.0,12.24744871391589
30.0,-10.0,15.2,18.734993995195193
30.0,-10.0,16.4,18.681541692269406
30.0,-10.0,17.6,17.86057109949175
30.0,-10.0,19.2,17.05872210923198
30.0,-10.0,14.4,18.726095873584185
30.0,-10.0,17.2,17.682382946499793
30.0,-10.0,24.0,13.228756555322953
30.0,-10.0,15.6,18.275666882497067
30.0,-10.0,24.4,11.210114480533491
30.0,-10.0,16.8,16.0
30.0,-10.0,20.4,15.405626677721791
30.0,-10.0,21.6,14.628738838327793
30.0,-10.0,18.0,16.583123951777
30.0,-10.0,23.2,13.140268896284685
30.0,-10.0,16.0,17.795130420052185
30.0,-10.0,17.2,16.960738977611403
30.0,-10.0,20.4,15.937377450509228
30.0,-10.0,20.4,14.2828568570857
30.0,-10.0,16.0,17.795130420052185
30.0,-10.0,25.2,11.590225767142474
30.0,-10.0,24.0,12.24744871391589
30.0,-10.0,19.6,16.451950239004088
30.0,-10.0,23.6,13.19090595827292
30.0,-10.0,16.4,17.530925056406275
30.0,-10.0,19.6,15.673757260678329
30.0,-10.0,23.6,13.19090595827292
30.0,-10.0,13.6,18.681541692269406
30.0,-10.0,17.2,17.682382946499793
30.0,-10.0,18.8,16.911534525287763
30.0,-10.0,18.4,16.753109164172084
30.0,-10.0,22.0,14.142135623730951
30.0,-10.0,19.6,14.2828568570857
30.0,-10.0,23.2,14.92201952373293
30.0,-10.0,18.0,17.55942292142123
30.0,-10.0,20.8,16.051998837112677
30.0,-10.0,18.0,14.142135623730951
30.0,-10.0,21.2,16.15549442140351
30.0,-10.0,21.2,15.631165450257807
30.0,-10.0,12.8,19.261360284258224
30.0,-10.0,23.6,14.106735979665885
30.0,-10.0,17.6,16.401219466856727
30.0,-10.0,13.6,19.122412679017955
30.0,-10.0,21.6,15.459624833740307
30.0,-10.0,18.8,16.911534525287763
30.0,-10.0,18.0,15.0
30.0,-10.0,20.4,15.132745950421556
30.0,-10.0,19.2,15.524174696260024
30.0,-10.0,20.8,15.253414918196734
30.0,-10.0,18.0,16.583123951777
30.0,-10.0,22.8,14.29452109492771
30.0,-10.0,25.6,11.210114480533491
30.0,-10.0,19.2,17.05872210923198
30.0,-10.0,21.6,15.459624833740307
30.0,-10.0,17.6,17.3877351409933
30.0,-10.0,16.0,17.795130420052185
30.0,-10.0,19.6,15.132745950421556
30.0,-10.0,18.4,18.184242262647807
30.0,-10.0,22.8,13.999999999999998
30.0,-10.0,19.6,16.451950239004088
30.0,-10.0,21.6,12.476644848141934
30.0,-10.0,19.6,16.451950239004088
30.0,-10.0,20.0,16.583123951777
30.0,-10.0,19.6,15.405626677721791
30.0,-10.0,22.8,11.73314393786536
30.0,-10.0,20.0,15.275252316519467
30.0,-10.0,20.0,16.583123951777
30.0,-10.0,18.4,18.184242262647807
30.0,-10.0,22.8,13.999999999999998
30.0,-10.0,19.6,14.854853303438128
