Highest,Lowest,Mean,Stdev
30.0,-10.0,-4.0,9.128709291752768
30.0,-10.0,0.4,10.598742063723098
60.0,-10.0,9.2,17.776388834631177
60.0,-10.0,13.6,17.530925056406275
60.0,-10.0,13.2,16.258331197676263
60.0,-10.0,20.8,17.77638883463118
60.0,-10.0,9.6,20.305992547357377
70.0,-10.0,22.4,22.781571499789035
80.0,-10.0,27.6,27.42869543622761
80.0,-10.0,14.4,24.337899115029078
100.0,-10.0,22.8,31.02687007525359
100.0,-10.0,16.4,30.397368307141328
100.0,-10.0,22.0,29.58039891549808
100.0,-10.0,17.2,33.605555096342826
100.0,-10.0,25.2,33.43152205130162
100.0,-10.0,19.6,34.698703145794944
100.0,-10.0,18.4,36.13400983376557
100.0,-10.0,12.4,30.58866892603643
100.0,-10.0,20.8,32.13513134665341
100.0,-10.0,18.0,31.75426480542942
100.0,-10.0,17.2,35.651086939951774
100.0,-10.0,20.4,36.22614157391501
100.0,-10.0,19.2,33.15619600215521
100.0,-10.0,28.0,34.39961240091716
100.0,-10.0,13.2,31.71750305430741
100.0,-10.0,24.0,32.01562118716424
110.0,-10.0,18.4,36.59234892706397
110.0,-10.0,32.8,39.0
110.0,-10.0,16.0,34.76108935769035
110.0,-10.0,26.0,36.85557397915997
110.0,-10.0,31.2,40.34435111222718
110.0,-10.0,28.0,41.53311931459037
110.0,-10.0,34.8,45.471602860100134
120.0,-10.0,48.4,47.49385925218824
120.0,-10.0,42.0,47.521924764610844
120.0,-10.0,54.4,46.64404213473213
120.0,-10.0,45.6,43.116122274620196
120.0,-10.0,42.0,42.91464396527911
120.0,-10.0,48.8,50.441385125047205
120.0,-10.0,50.0,50.82650227325635
120.0,-10.0,48.0,47.346242371139304
190.0,-10.0,55.6,55.60875230872685
190.0,-10.0,60.0,51.881274720911264
260.0,-10.0,68.0,66.77075208003376
